Designator,Mid X,Mid Y,Layer,Rotation
C1,140.900000,-60.500000,top,270.000000
C2,147.250000,-55.750000,top,90.000000
C3,160.500000,-82.150000,top,180.000000
C5,132.750000,-110.500000,top,90.000000
C6,146.250000,-110.300000,top,90.000000
C7,162.500000,-110.500000,top,90.000000
C8,140.500000,-110.500000,top,90.000000
Q3,122.500000,-110.500000,top,180.000000
R1,143.000000,-60.500000,top,270.000000
R2,166.500000,-79.945000,top,180.000000
R3,166.500000,-77.405000,top,180.000000
R4,166.500000,-74.865000,top,180.000000
R5,166.500000,-72.325000,top,180.000000
R6,154.500000,-78.675000,top,180.000000
R7,154.500000,-76.135000,top,180.000000
R8,154.500000,-73.595000,top,180.000000
R9,154.500000,-71.055000,top,180.000000
R10,125.912500,-100.000000,top,180.000000
R11,125.912500,-98.000000,top,180.000000
R12,125.912500,-96.000000,top,180.000000
R13,125.912500,-94.000000,top,180.000000
R14,125.912500,-91.750000,top,180.000000
R15,125.912500,-89.750000,top,180.000000
R16,125.912500,-87.750000,top,180.000000
R17,125.912500,-85.750000,top,180.000000
R18,145.750000,-86.750000,top,180.000000
R19,145.750000,-84.750000,top,0.000000
R20,143.000000,-85.750000,top,90.000000
R21,145.750000,-79.750000,top,180.000000
R22,145.750000,-81.750000,top,0.000000
R23,143.000000,-80.750000,top,270.000000
R24,102.800000,-79.050000,top,90.000000
U2,140.250000,-65.250000,top,0.000000
